dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
lide_inside1_instruction_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,{playerName}，这里是学校东南区的立德楼。立德楼是咱们学校里算比较年轻化、现代化的建筑了。这里有几层楼用于教学活动，还有很多给学生提供自习或者比赛的地方。,node002,,,FALSE,,,,,,,,
lide_inside1_instruction_dialogue,node002,LuXinsheng,路薪声,Npc,Neutral,说起这个！在2022年五四青年节前的时候，立德楼有一个超级重要的新闻哦~！如果感兴趣的话可以去我们学校网站里看一看。,node003,,,FALSE,,,,,,,,
lide_inside1_instruction_dialogue,node003,player,playerName,Player,Neutral,说起来刚才的事。,node004,,,FALSE,,,,,,,,
lide_inside1_instruction_dialogue,node004,LuXinsheng,路薪声,Npc,Neutral,对了，刚才方老师说要找到怪物出现的根源......时空裂缝？我总感觉在这里有一点心慌，是不是这个地方出现了什么问题？{playerName}或许可以跟周围的同学打听打听。,node005,,,FALSE,,,,,,,,
lide_inside1_instruction_dialogue,node005,LuXinsheng,路薪声,Npc,Neutral,不过这里的人特别多，能获取的信息来源应该丰富的像gpt告诉你的一样，要记得辨别和核实哦。,,get_information,,TRUE,,,,,,,,
shi_dialogue,node001,ShiDapao,石达炮,Npc,Neutral,奇异现象？时空裂缝？你在说什么！我可是坚定的唯物主义......而且就算真真、真有怪物我我我我也——,node002,,,FALSE,,,,,,,,
shi_dialogue,node002,system,旁白,System,Neutral,（突然噤声）,,,,FALSE,,,,,,,,
lide_fight_over_xi_dialogue,node001,system,旁白,System,Neutral,"这是""洗稿缝合怪""，伪原创风暴突然停滞，怪物核心裂开《申报》剪报虚影——『民国廿三年，史量才曾言：国有国格，报有报格，人有人格』。",node002,,,FALSE,,,,,,,,
lide_fight_over_xi_dialogue,node002,system,旁白,System,Neutral,肉块在刺目的光中蒸发，满地残骸里浮现出被剽窃的初稿和浮动着的查重率红字——『新闻是历史的草稿，而有些人只会描红』。,,,,FALSE,,,,,,,,
li_dialogue,node001,LiFan,李帆,Npc,Neutral,奇异现象？我感觉每次都记不住扶梯在哪个方向，害得我每次都绕一大圈.....我感觉这背后一定有鬼！,node002,,,FALSE,,,,,,,,
li_dialogue,node002,system,旁白,System,Neutral,感觉单纯是记性不好。,,,,FALSE,,,,,,,,
zhang_dialogue,node001,ZhangXiaoke,张小可,Npc,Neutral,很明显有奇异现象啊！我饭卡里的钱怎么花着花着就没了！我也没吃很多吧，我一定是动了资本的提拉米苏蛋糕、鱼香肉丝盖饭、学子居豆花肥牛饭、是饭炸鱼薯条、小渝府重庆小面、留二瓦香鸡块饭......哎，资本。,node002,,,FALSE,,,,,,,,
zhang_dialogue,node002,system,旁白,System,Neutral,穷凶极饿的小女孩一枚。,,,,FALSE,,,,,,,,
lide_fight_over_xin_dialogue,node001,system,旁白,System,Neutral,"这是""信息过载大王""。逐渐稀释现代人深度思考能力的碎片信息，连同无效的弹窗合成了这样的怪物。电视时代教会我们用笑声代替思考。而短视频时代，连笑声都被压缩在快进的进度条里。",node002,,,FALSE,,,,,,,,
